reference,species_taxid,walker_taxid,walker_taxon,walker_strain,walker_run_accession
M.nonchromogenicus,1782,1782,Mycobacterium nonchromogenicum,NCTC_10497,SRR32024558
M.senuensis,386913,386913,Mycobacterium senuense,JCM_16017,SRR32024607
M.conceptionense,451644,451644,Mycobacterium conceptionense,JCM_15299,SRR32024611
M.abscessus,36809,319705,Mycobacterium abscessus subsp. bolletii,JCM_15297,SRR32024612
M.kyorinense,487514,487514,Mycobacterium kyorinense,JCM_15038,SRR32024613
M.fluoranthenivorans,258505,258505,Mycobacterium fluoranthenivorans,JCM_14741,SRR32024614
M.murale,182220,182220,Mycobacterium murale,JCM_13392,SRR32024615
M.flavescens,1776,1776,Mycobacterium flavescens,DSM_43991,SRR32024622
M.chitae,1792,1792,Mycobacterium chitae,NCTC_10485,SRR32024560
M.aurum,1791,1791,Mycobacterium aurum,NCTC_10440,SRR32024562
M.ulcerans,1809,1809,Mycobacterium ulcerans,NCTC_10417,SRR32024567
M.fortuitum,1766,144549,Mycobacterium fortuitum subsp. fortuitum,NCTC_10394,SRR32024569
M.acapulense,114977,114977,Mycobacterium acapulcensis,NCTC_10270,SRR32024570
M.gordonae,1778,1778,Mycobacterium gordonae,NCTC_09822,SRR32024576
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_08158,SRR32024583
M.marinum,1781,1781,Mycobacterium marinum,NCTC_07010,SRR32024590
M.smegmatis,1772,1772,Mycobacterium smegmatis,NCTC_00333,SRR32024596
M.pseudoshottsii,265949,265949,Mycobacterium pseudoshottsii,NCTC13318,SRR32024597
M.sp. 'ratisbonense',75920,75920,Mycobacterium ratisbonense,DSM_44364,SRR32024599
M.scrofulaceum,1783,1783,Mycobacterium scrofulaceum,JCM_6381,SRR32024601
M.paraffinicum,53378,53378,Mycobacterium paraffinicum,JCM_17782,SRR32024603
M.pyrenivorans,187102,187102,Mycobacterium pyrenivorans,JCM_15927,SRR32024608
M.boenickei,146017,146017,Mycobacterium boenickei,JCM_15653,SRR32024609
M.petroleophilum,188917,188917,Mycobacterium petroleophilum,DSM_44182,SRR32024610
M.terrae,1788,1788,Mycobacterium terrae,JCM_12143,SRR32024617
M.algericus,1288388,1288388,Mycobacterium algericum,DSM_45454,SRR32024619
M.hippocampi,659824,659824,Mycobacterium hippocampi,DSM_45391,SRR32024620
